"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
280,Jagtial,Koratla,Korutla Municipality,8,898,981,0,1879,Nizamabad,,
281,Jagtial,Koratla,Korutla Municipality,9,877,1015,0,1892,Nizamabad,,
282,Jagtial,Koratla,Korutla Municipality,10,1014,1094,0,2108,Nizamabad,,
283,Jagtial,Koratla,Korutla Municipality,11,890,939,0,1829,Nizamabad,,
284,Jagtial,Koratla,Korutla Municipality,12,799,932,0,1731,Nizamabad,,
285,Jagtial,Koratla,Korutla Municipality,13,855,887,0,1742,Nizamabad,,
286,Jagtial,Koratla,Korutla Municipality,14,989,1050,0,2039,Nizamabad,,
287,Jagtial,Koratla,Korutla Municipality,15,876,971,0,1847,Nizamabad,,
288,Jagtial,Koratla,Korutla Municipality,16,884,970,0,1854,Nizamabad,,
289,Jagtial,Koratla,Korutla Municipality,17,941,1040,0,1981,Nizamabad,,
290,Jagtial,Koratla,Korutla Municipality,18,987,1059,0,2046,Nizamabad,,
291,Jagtial,Koratla,Korutla Municipality,19,936,985,0,1921,Nizamabad,,
292,Jagtial,Koratla,Korutla Municipality,20,1031,1120,0,2151,Nizamabad,,
293,Jagtial,Koratla,Korutla Municipality,21,1101,1158,0,2259,Nizamabad,,
294,Jagtial,Koratla,Korutla Municipality,22,1150,1162,1,2313,Nizamabad,,
295,Jagtial,Koratla,Korutla Municipality,23,1107,1254,0,2361,Nizamabad,,
296,Jagtial,Koratla,Korutla Municipality,24,931,951,0,1882,Nizamabad,,
297,Jagtial,Koratla,Korutla Municipality,25,784,825,0,1609,Nizamabad,,
298,Jagtial,Koratla,Korutla Municipality,26,851,896,0,1747,Nizamabad,,
299,Jagtial,Koratla,Korutla Municipality,27,879,974,0,1853,Nizamabad,,
300,Jagtial,Koratla,Korutla Municipality,28,770,789,0,1559,Nizamabad,,
301,Jagtial,Koratla,Korutla Municipality,29,868,928,0,1796,Nizamabad,,
302,Jagtial,Koratla,Korutla Municipality,30,872,837,1,1710,Nizamabad,,
303,Jagtial,Koratla,Korutla Municipality,31,782,822,0,1604,Nizamabad,,
304,Jagtial,Koratla,Korutla Municipality,32,942,1016,0,1958,Nizamabad,,
305,Jagtial,Koratla,Korutla Municipality,33,806,876,0,1682,Nizamabad,,
306,Jagtial,Koratla,Metpalli Municipality,1,644,745,0,1389,Nizamabad,,
307,Jagtial,Koratla,Metpalli Municipality,2,809,872,0,1681,Nizamabad,,
308,Jagtial,Koratla,Metpalli Municipality,3,788,876,0,1664,Nizamabad,,
309,Jagtial,Koratla,Metpalli Municipality,4,930,1003,0,1933,Nizamabad,,
310,Jagtial,Koratla,Metpalli Municipality,5,849,925,0,1774,Nizamabad,,
311,Jagtial,Koratla,Metpalli Municipality,6,1029,1168,0,2197,Nizamabad,,
312,Jagtial,Koratla,Metpalli Municipality,7,953,944,0,1897,Nizamabad,,
313,Jagtial,Koratla,Metpalli Municipality,8,883,870,0,1753,Nizamabad,,
314,Jagtial,Koratla,Metpalli Municipality,9,982,1024,0,2006,Nizamabad,,
315,Jagtial,Koratla,Metpalli Municipality,10,957,1044,0,2001,Nizamabad,,
316,Jagtial,Koratla,Metpalli Municipality,11,859,833,0,1692,Nizamabad,,
317,Jagtial,Koratla,Metpalli Municipality,12,895,1040,0,1935,Nizamabad,,
318,Jagtial,Koratla,Metpalli Municipality,13,824,904,0,1728,Nizamabad,,
319,Jagtial,Koratla,Metpalli Municipality,14,1027,1128,0,2155,Nizamabad,,
320,Jagtial,Koratla,Metpalli Municipality,15,755,900,0,1655,Nizamabad,,
321,Jagtial,Koratla,Metpalli Municipality,16,810,854,0,1664,Nizamabad,,
322,Jagtial,Koratla,Metpalli Municipality,17,749,799,0,1548,Nizamabad,,
323,Jagtial,Koratla,Metpalli Municipality,18,983,989,0,1972,Nizamabad,,
324,Jagtial,Koratla,Metpalli Municipality,19,779,786,1,1566,Nizamabad,,
325,Jagtial,Koratla,Metpalli Municipality,20,888,944,0,1832,Nizamabad,,
326,Jagtial,Koratla,Metpalli Municipality,21,1054,1093,0,2147,Nizamabad,,
327,Jagtial,Koratla,Metpalli Municipality,22,936,1043,0,1979,Nizamabad,,
328,Jagtial,Koratla,Metpalli Municipality,23,685,818,0,1503,Nizamabad,,
329,Jagtial,Koratla,Metpalli Municipality,24,736,814,0,1550,Nizamabad,,
330,Jagtial,Koratla,Metpalli Municipality,25,814,831,0,1645,Nizamabad,,
331,Jagtial,Koratla,Metpalli Municipality,26,665,670,0,1335,Nizamabad,,
332,Jagtial,Jagtial,Raikal Municipality,1,554,604,0,1158,Nizamabad,,
333,Jagtial,Jagtial,Raikal Municipality,2,575,604,0,1179,Nizamabad,,
334,Jagtial,Jagtial,Raikal Municipality,3,520,575,0,1095,Nizamabad,,
335,Jagtial,Jagtial,Raikal Municipality,4,535,615,0,1150,Nizamabad,,
336,Jagtial,Jagtial,Raikal Municipality,5,439,533,0,972,Nizamabad,,
337,Jagtial,Jagtial,Raikal Municipality,6,488,548,0,1036,Nizamabad,,
338,Jagtial,Jagtial,Raikal Municipality,7,466,537,0,1003,Nizamabad,,
339,Jagtial,Jagtial,Raikal Municipality,8,539,609,0,1148,Nizamabad,,
340,Jagtial,Jagtial,Raikal Municipality,9,516,556,0,1072,Nizamabad,,
341,Jagtial,Jagtial,Raikal Municipality,10,547,588,0,1135,Nizamabad,,
342,Jagtial,Jagtial,Raikal Municipality,11,502,593,0,1095,Nizamabad,,
343,Jagtial,Jagtial,Raikal Municipality,12,476,565,0,1041,Nizamabad,,
344,Jangaon,Jangaon,Jangaon Municipality,1,686,772,0,1458,Bhongir,,
345,Jangaon,Jangaon,Jangaon Municipality,2,784,803,0,1587,Bhongir,,
346,Jangaon,Jangaon,Jangaon Municipality,3,860,843,0,1703,Bhongir,,
347,Jangaon,Jangaon,Jangaon Municipality,4,821,837,0,1658,Bhongir,,
348,Jangaon,Jangaon,Jangaon Municipality,5,857,950,0,1807,Bhongir,,
349,Jangaon,Jangaon,Jangaon Municipality,6,726,755,0,1481,Bhongir,,
350,Jangaon,Jangaon,Jangaon Municipality,7,637,660,0,1297,Bhongir,,
351,Jangaon,Jangaon,Jangaon Municipality,8,762,795,9,1566,Bhongir,,
352,Jangaon,Jangaon,Jangaon Municipality,9,634,704,0,1338,Bhongir,,
353,Jangaon,Jangaon,Jangaon Municipality,10,706,792,0,1498,Bhongir,,
354,Jangaon,Jangaon,Jangaon Municipality,11,710,720,0,1430,Bhongir,,
355,Jangaon,Jangaon,Jangaon Municipality,12,714,776,0,1490,Bhongir,,
356,Jangaon,Jangaon,Jangaon Municipality,13,768,894,0,1662,Bhongir,,
357,Jangaon,Jangaon,Jangaon Municipality,14,748,787,0,1535,Bhongir,,
358,Jangaon,Jangaon,Jangaon Municipality,15,651,733,0,1384,Bhongir,,
359,Jangaon,Jangaon,Jangaon Municipality,16,773,873,0,1646,Bhongir,,
360,Jangaon,Jangaon,Jangaon Municipality,17,791,850,0,1641,Bhongir,,
361,Jangaon,Jangaon,Jangaon Municipality,18,650,678,0,1328,Bhongir,,
362,Jangaon,Jangaon,Jangaon Municipality,19,624,624,0,1248,Bhongir,,
363,Jangaon,Jangaon,Jangaon Municipality,20,723,742,0,1465,Bhongir,,
364,Jangaon,Jangaon,Jangaon Municipality,21,517,613,0,1130,Bhongir,,
365,Jangaon,Jangaon,Jangaon Municipality,22,647,650,0,1297,Bhongir,,
366,Jangaon,Jangaon,Jangaon Municipality,23,794,785,0,1579,Bhongir,,
367,Jangaon,Jangaon,Jangaon Municipality,24,613,654,0,1267,Bhongir,,
368,Jangaon,Jangaon,Jangaon Municipality,25,702,767,0,1469,Bhongir,,
369,Jangaon,Jangaon,Jangaon Municipality,26,637,672,0,1309,Bhongir,,
370,Jangaon,Jangaon,Jangaon Municipality,27,685,732,0,1417,Bhongir,,
371,Jangaon,Jangaon,Jangaon Municipality,28,716,724,0,1440,Bhongir,,
372,Jangaon,Jangaon,Jangaon Municipality,29,692,712,0,1404,Bhongir,,
373,Jangaon,Jangaon,Jangaon Municipality,30,730,781,0,1511,Bhongir,,
374,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,1,479,524,0,1003,Warangal,,
375,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,2,519,560,0,1079,Warangal,,
376,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,3,573,609,0,1182,Warangal,,
377,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,4,553,617,0,1170,Warangal,,
378,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,5,514,534,0,1048,Warangal,,
379,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,6,447,435,0,882,Warangal,,
380,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,7,508,521,0,1029,Warangal,,
381,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,8,417,421,0,838,Warangal,,
382,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,9,542,571,0,1113,Warangal,,
383,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,10,565,625,0,1190,Warangal,,
384,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,11,520,598,0,1118,Warangal,,
385,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,12,411,498,0,909,Warangal,,
386,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,13,468,521,0,989,Warangal,,
387,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,14,440,479,0,919,Warangal,,
388,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,15,472,504,0,976,Warangal,,
389,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,16,487,546,1,1034,Warangal,,
390,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,17,462,505,0,967,Warangal,,
391,Jangaon,Ghanpur (Station),Stn. Ghanpur Municipality,18,536,568,0,1104,Warangal,,
392,Jogulamba Gadwal,Alampur,Aiza Municipality,1,536,546,0,1082,Nagarkurnool,,SC)
393,Jogulamba Gadwal,Alampur,Aiza Municipality,2,454,466,0,920,Nagarkurnool,,SC)
394,Jogulamba Gadwal,Alampur,Aiza Municipality,3,544,554,0,1098,Nagarkurnool,,SC)
395,Jogulamba Gadwal,Alampur,Aiza Municipality,4,575,555,0,1130,Nagarkurnool,,SC)
396,Jogulamba Gadwal,Alampur,Aiza Municipality,5,602,566,0,1168,Nagarkurnool,,SC)
397,Jogulamba Gadwal,Alampur,Aiza Municipality,6,519,542,0,1061,Nagarkurnool,,SC)
398,Jogulamba Gadwal,Alampur,Aiza Municipality,7,718,650,0,1368,Nagarkurnool,,SC)
399,Jogulamba Gadwal,Alampur,Aiza Municipality,8,855,941,0,1796,Nagarkurnool,,SC)
400,Jogulamba Gadwal,Alampur,Aiza Municipality,9,514,542,0,1056,Nagarkurnool,,SC)
401,Jogulamba Gadwal,Alampur,Aiza Municipality,10,533,570,0,1103,Nagarkurnool,,SC)
402,Jogulamba Gadwal,Alampur,Aiza Municipality,11,515,538,0,1053,Nagarkurnool,,SC)
403,Jogulamba Gadwal,Alampur,Aiza Municipality,12,584,619,0,1203,Nagarkurnool,,SC)
404,Jogulamba Gadwal,Alampur,Aiza Municipality,13,385,414,0,799,Nagarkurnool,,SC)
405,Jogulamba Gadwal,Alampur,Aiza Municipality,14,544,600,0,1144,Nagarkurnool,,SC)
406,Jogulamba Gadwal,Alampur,Aiza Municipality,15,567,593,0,1160,Nagarkurnool,,SC)
407,Jogulamba Gadwal,Alampur,Aiza Municipality,16,664,762,0,1426,Nagarkurnool,,SC)
408,Jogulamba Gadwal,Alampur,Aiza Municipality,17,653,674,0,1327,Nagarkurnool,,SC)
409,Jogulamba Gadwal,Alampur,Aiza Municipality,18,416,462,0,878,Nagarkurnool,,SC)
410,Jogulamba Gadwal,Alampur,Aiza Municipality,19,510,581,0,1091,Nagarkurnool,,SC)
411,Jogulamba Gadwal,Alampur,Aiza Municipality,20,542,611,0,1153,Nagarkurnool,,SC)
412,Jogulamba Gadwal,Alampur,Alampur Municipality,1,441,494,0,935,Nagarkurnool,,SC)
413,Jogulamba Gadwal,Alampur,Alampur Municipality,2,467,509,0,976,Nagarkurnool,,SC)
414,Jogulamba Gadwal,Alampur,Alampur Municipality,3,476,474,0,950,Nagarkurnool,,SC)
415,Jogulamba Gadwal,Alampur,Alampur Municipality,4,484,485,0,969,Nagarkurnool,,SC)
416,Jogulamba Gadwal,Alampur,Alampur Municipality,5,499,524,0,1023,Nagarkurnool,,SC)
417,Jogulamba Gadwal,Alampur,Alampur Municipality,6,489,481,0,970,Nagarkurnool,,SC)
418,Jogulamba Gadwal,Alampur,Alampur Municipality,7,463,498,0,961,Nagarkurnool,,SC)
419,Jogulamba Gadwal,Alampur,Alampur Municipality,8,442,502,1,945,Nagarkurnool,,SC)
420,Jogulamba Gadwal,Alampur,Alampur Municipality,9,485,537,0,1022,Nagarkurnool,,SC)
421,Jogulamba Gadwal,Alampur,Alampur Municipality,10,435,436,0,871,Nagarkurnool,,SC)
422,Jogulamba Gadwal,Gadwal,Gadwal Municipality,1,652,678,0,1330,Nagarkurnool,,
423,Jogulamba Gadwal,Gadwal,Gadwal Municipality,2,974,960,0,1934,Nagarkurnool,,
424,Jogulamba Gadwal,Gadwal,Gadwal Municipality,3,1079,1128,7,2214,Nagarkurnool,,
425,Jogulamba Gadwal,Gadwal,Gadwal Municipality,4,851,890,0,1741,Nagarkurnool,,
426,Jogulamba Gadwal,Gadwal,Gadwal Municipality,5,821,858,0,1679,Nagarkurnool,,
427,Jogulamba Gadwal,Gadwal,Gadwal Municipality,6,943,1017,0,1960,Nagarkurnool,,
428,Jogulamba Gadwal,Gadwal,Gadwal Municipality,7,1178,1182,0,2360,Nagarkurnool,,
429,Jogulamba Gadwal,Gadwal,Gadwal Municipality,8,1002,1071,1,2074,Nagarkurnool,,
430,Jogulamba Gadwal,Gadwal,Gadwal Municipality,9,754,783,0,1537,Nagarkurnool,,
431,Jogulamba Gadwal,Gadwal,Gadwal Municipality,10,825,819,0,1644,Nagarkurnool,,
432,Jogulamba Gadwal,Gadwal,Gadwal Municipality,11,860,847,0,1707,Nagarkurnool,,
433,Jogulamba Gadwal,Gadwal,Gadwal Municipality,12,801,873,0,1674,Nagarkurnool,,
434,Jogulamba Gadwal,Gadwal,Gadwal Municipality,13,815,919,0,1734,Nagarkurnool,,
435,Jogulamba Gadwal,Gadwal,Gadwal Municipality,14,781,950,0,1731,Nagarkurnool,,
436,Jogulamba Gadwal,Gadwal,Gadwal Municipality,15,895,966,1,1862,Nagarkurnool,,
437,Jogulamba Gadwal,Gadwal,Gadwal Municipality,16,890,953,0,1843,Nagarkurnool,,
438,Jogulamba Gadwal,Gadwal,Gadwal Municipality,17,922,921,0,1843,Nagarkurnool,,
439,Jogulamba Gadwal,Gadwal,Gadwal Municipality,18,847,868,0,1715,Nagarkurnool,,
440,Jogulamba Gadwal,Gadwal,Gadwal Municipality,19,841,834,0,1675,Nagarkurnool,,
441,Jogulamba Gadwal,Gadwal,Gadwal Municipality,20,849,932,0,1781,Nagarkurnool,,
442,Jogulamba Gadwal,Gadwal,Gadwal Municipality,21,886,888,0,1774,Nagarkurnool,,
443,Jogulamba Gadwal,Gadwal,Gadwal Municipality,22,786,849,0,1635,Nagarkurnool,,
444,Jogulamba Gadwal,Gadwal,Gadwal Municipality,23,868,910,0,1778,Nagarkurnool,,
445,Jogulamba Gadwal,Gadwal,Gadwal Municipality,24,765,808,0,1573,Nagarkurnool,,
446,Jogulamba Gadwal,Gadwal,Gadwal Municipality,25,799,873,0,1672,Nagarkurnool,,
447,Jogulamba Gadwal,Gadwal,Gadwal Municipality,26,842,928,0,1770,Nagarkurnool,,
448,Jogulamba Gadwal,Gadwal,Gadwal Municipality,27,780,852,0,1632,Nagarkurnool,,
449,Jogulamba Gadwal,Gadwal,Gadwal Municipality,28,787,853,0,1640,Nagarkurnool,,
450,Jogulamba Gadwal,Gadwal,Gadwal Municipality,29,960,1011,0,1971,Nagarkurnool,,
451,Jogulamba Gadwal,Gadwal,Gadwal Municipality,30,770,859,1,1630,Nagarkurnool,,
452,Jogulamba Gadwal,Gadwal,Gadwal Municipality,31,811,826,0,1637,Nagarkurnool,,
453,Jogulamba Gadwal,Gadwal,Gadwal Municipality,32,811,834,0,1645,Nagarkurnool,,
454,Jogulamba Gadwal,Gadwal,Gadwal Municipality,33,855,963,0,1818,Nagarkurnool,,
455,Jogulamba Gadwal,Gadwal,Gadwal Municipality,34,780,879,0,1659,Nagarkurnool,,
456,Jogulamba Gadwal,Gadwal,Gadwal Municipality,35,890,953,0,1843,Nagarkurnool,,
457,Jogulamba Gadwal,Gadwal,Gadwal Municipality,36,878,931,0,1809,Nagarkurnool,,
458,Jogulamba Gadwal,Gadwal,Gadwal Municipality,37,836,922,0,1758,Nagarkurnool,,
459,Jogulamba Gadwal,Alampur,Waddepally Municipality,1,539,547,0,1086,Nagarkurnool,,SC)
460,Jogulamba Gadwal,Alampur,Waddepally Municipality,2,569,540,1,1110,Nagarkurnool,,SC)
461,Jogulamba Gadwal,Alampur,Waddepally Municipality,3,558,563,0,1121,Nagarkurnool,,SC)
462,Jogulamba Gadwal,Alampur,Waddepally Municipality,4,602,651,0,1253,Nagarkurnool,,SC)
463,Jogulamba Gadwal,Alampur,Waddepally Municipality,5,511,504,0,1015,Nagarkurnool,,SC)
464,Jogulamba Gadwal,Alampur,Waddepally Municipality,6,476,458,0,934,Nagarkurnool,,SC)
465,Jogulamba Gadwal,Alampur,Waddepally Municipality,7,554,560,0,1114,Nagarkurnool,,SC)
466,Jogulamba Gadwal,Alampur,Waddepally Municipality,8,335,347,0,682,Nagarkurnool,,SC)
467,Jogulamba Gadwal,Alampur,Waddepally Municipality,9,591,623,0,1214,Nagarkurnool,,SC)
468,Jogulamba Gadwal,Alampur,Waddepally Municipality,10,521,554,0,1075,Nagarkurnool,,SC)
469,Kamareddy,Banswada,Banswada Municipality,1,636,622,1,1259,Zaheerabad,,
470,Kamareddy,Banswada,Banswada Municipality,2,561,612,1,1174,Zaheerabad,,
471,Kamareddy,Banswada,Banswada Municipality,3,617,715,1,1333,Zaheerabad,,
472,Kamareddy,Banswada,Banswada Municipality,4,606,670,6,1282,Zaheerabad,,
473,Kamareddy,Banswada,Banswada Municipality,5,659,646,0,1305,Zaheerabad,,
474,Kamareddy,Banswada,Banswada Municipality,6,871,941,0,1812,Zaheerabad,,
475,Kamareddy,Banswada,Banswada Municipality,7,596,685,0,1281,Zaheerabad,,
476,Kamareddy,Banswada,Banswada Municipality,8,467,622,1,1090,Zaheerabad,,
477,Kamareddy,Banswada,Banswada Municipality,9,599,672,1,1272,Zaheerabad,,
478,Kamareddy,Banswada,Banswada Municipality,10,655,705,0,1360,Zaheerabad,,
479,Kamareddy,Banswada,Banswada Municipality,11,605,645,0,1250,Zaheerabad,,
480,Kamareddy,Banswada,Banswada Municipality,12,609,658,0,1267,Zaheerabad,,
481,Kamareddy,Banswada,Banswada Municipality,13,679,657,0,1336,Zaheerabad,,
482,Kamareddy,Banswada,Banswada Municipality,14,600,601,0,1201,Zaheerabad,,
483,Kamareddy,Banswada,Banswada Municipality,15,626,672,0,1298,Zaheerabad,,
484,Kamareddy,Banswada,Banswada Municipality,16,526,628,0,1154,Zaheerabad,,
485,Kamareddy,Banswada,Banswada Municipality,17,622,680,0,1302,Zaheerabad,,
486,Kamareddy,Banswada,Banswada Municipality,18,527,621,0,1148,Zaheerabad,,
487,Kamareddy,Banswada,Banswada Municipality,19,517,547,0,1064,Zaheerabad,,
488,Kamareddy,Jukkal,Bichkunda Municipality,1,517,553,1,1071,Zaheerabad,,SC)
489,Kamareddy,Jukkal,Bichkunda Municipality,2,500,525,0,1025,Zaheerabad,,SC)
490,Kamareddy,Jukkal,Bichkunda Municipality,3,518,550,0,1068,Zaheerabad,,SC)
491,Kamareddy,Jukkal,Bichkunda Municipality,4,519,566,0,1085,Zaheerabad,,SC)
492,Kamareddy,Jukkal,Bichkunda Municipality,5,497,549,0,1046,Zaheerabad,,SC)
493,Kamareddy,Jukkal,Bichkunda Municipality,6,537,524,1,1062,Zaheerabad,,SC)
494,Kamareddy,Jukkal,Bichkunda Municipality,7,565,562,0,1127,Zaheerabad,,SC)
495,Kamareddy,Jukkal,Bichkunda Municipality,8,520,525,0,1045,Zaheerabad,,SC)
496,Kamareddy,Jukkal,Bichkunda Municipality,9,521,567,0,1088,Zaheerabad,,SC)
497,Kamareddy,Jukkal,Bichkunda Municipality,10,487,529,0,1016,Zaheerabad,,SC)
498,Kamareddy,Jukkal,Bichkunda Municipality,11,523,546,0,1069,Zaheerabad,,SC)
499,Kamareddy,Jukkal,Bichkunda Municipality,12,497,560,0,1057,Zaheerabad,,SC)
500,Kamareddy,Kamareddy,Kamareddy Municipality,1,916,1036,0,1952,Zaheerabad,,
501,Kamareddy,Kamareddy,Kamareddy Municipality,2,755,845,0,1600,Zaheerabad,,
502,Kamareddy,Kamareddy,Kamareddy Municipality,3,899,1068,0,1967,Zaheerabad,,
503,Kamareddy,Kamareddy,Kamareddy Municipality,4,993,1102,1,2096,Zaheerabad,,
504,Kamareddy,Kamareddy,Kamareddy Municipality,5,1092,1156,1,2249,Zaheerabad,,
505,Kamareddy,Kamareddy,Kamareddy Municipality,6,863,1028,0,1891,Zaheerabad,,
506,Kamareddy,Kamareddy,Kamareddy Municipality,7,986,1007,3,1996,Zaheerabad,,
507,Kamareddy,Kamareddy,Kamareddy Municipality,8,901,942,0,1843,Zaheerabad,,
508,Kamareddy,Kamareddy,Kamareddy Municipality,9,1044,1120,0,2164,Zaheerabad,,
509,Kamareddy,Kamareddy,Kamareddy Municipality,10,952,994,0,1946,Zaheerabad,,
510,Kamareddy,Kamareddy,Kamareddy Municipality,11,870,950,0,1820,Zaheerabad,,
511,Kamareddy,Kamareddy,Kamareddy Municipality,12,1095,1188,0,2283,Zaheerabad,,
512,Kamareddy,Kamareddy,Kamareddy Municipality,13,868,980,0,1848,Zaheerabad,,
513,Kamareddy,Kamareddy,Kamareddy Municipality,14,1166,1176,0,2342,Zaheerabad,,
514,Kamareddy,Kamareddy,Kamareddy Municipality,15,1144,1141,1,2286,Zaheerabad,,
515,Kamareddy,Kamareddy,Kamareddy Municipality,16,1033,1005,0,2038,Zaheerabad,,
516,Kamareddy,Kamareddy,Kamareddy Municipality,17,1183,1176,0,2359,Zaheerabad,,
517,Kamareddy,Kamareddy,Kamareddy Municipality,18,1096,1118,9,2223,Zaheerabad,,
518,Kamareddy,Kamareddy,Kamareddy Municipality,19,1253,1237,0,2490,Zaheerabad,,
519,Kamareddy,Kamareddy,Kamareddy Municipality,20,1036,1169,0,2205,Zaheerabad,,
520,Kamareddy,Kamareddy,Kamareddy Municipality,21,888,946,0,1834,Zaheerabad,,
521,Kamareddy,Kamareddy,Kamareddy Municipality,22,1199,1277,0,2476,Zaheerabad,,
522,Kamareddy,Kamareddy,Kamareddy Municipality,23,921,1147,0,2068,Zaheerabad,,
523,Kamareddy,Kamareddy,Kamareddy Municipality,24,942,1005,0,1947,Zaheerabad,,
524,Kamareddy,Kamareddy,Kamareddy Municipality,25,1236,1299,0,2535,Zaheerabad,,
525,Kamareddy,Kamareddy,Kamareddy Municipality,26,794,906,0,1700,Zaheerabad,,
526,Kamareddy,Kamareddy,Kamareddy Municipality,27,758,876,1,1635,Zaheerabad,,
527,Kamareddy,Kamareddy,Kamareddy Municipality,28,864,920,0,1784,Zaheerabad,,
528,Kamareddy,Kamareddy,Kamareddy Municipality,29,1075,1053,0,2128,Zaheerabad,,
529,Kamareddy,Kamareddy,Kamareddy Municipality,30,940,1004,0,1944,Zaheerabad,,
530,Kamareddy,Kamareddy,Kamareddy Municipality,31,953,1038,0,1991,Zaheerabad,,
531,Kamareddy,Kamareddy,Kamareddy Municipality,32,915,930,0,1845,Zaheerabad,,
532,Kamareddy,Kamareddy,Kamareddy Municipality,33,991,959,0,1950,Zaheerabad,,
533,Kamareddy,Kamareddy,Kamareddy Municipality,34,955,991,0,1946,Zaheerabad,,
534,Kamareddy,Kamareddy,Kamareddy Municipality,35,1218,1311,0,2529,Zaheerabad,,
535,Kamareddy,Kamareddy,Kamareddy Municipality,36,960,1014,0,1974,Zaheerabad,,
536,Kamareddy,Kamareddy,Kamareddy Municipality,37,1095,1046,0,2141,Zaheerabad,,
537,Kamareddy,Kamareddy,Kamareddy Municipality,38,868,863,0,1731,Zaheerabad,,
538,Kamareddy,Kamareddy,Kamareddy Municipality,39,925,939,0,1864,Zaheerabad,,
539,Kamareddy,Kamareddy,Kamareddy Municipality,40,973,906,0,1879,Zaheerabad,,
540,Kamareddy,Kamareddy,Kamareddy Municipality,41,953,966,0,1919,Zaheerabad,,
541,Kamareddy,Kamareddy,Kamareddy Municipality,42,981,1066,0,2047,Zaheerabad,,
542,Kamareddy,Kamareddy,Kamareddy Municipality,43,1003,999,0,2002,Zaheerabad,,
543,Kamareddy,Kamareddy,Kamareddy Municipality,44,1037,970,1,2008,Zaheerabad,,
544,Kamareddy,Kamareddy,Kamareddy Municipality,45,939,956,0,1895,Zaheerabad,,
545,Kamareddy,Kamareddy,Kamareddy Municipality,46,913,1036,0,1949,Zaheerabad,,
546,Kamareddy,Kamareddy,Kamareddy Municipality,47,902,981,0,1883,Zaheerabad,,
547,Kamareddy,Kamareddy,Kamareddy Municipality,48,1049,1054,0,2103,Zaheerabad,,
548,Kamareddy,Kamareddy,Kamareddy Municipality,49,997,1011,0,2008,Zaheerabad,,
549,Kamareddy,Yellareddy,Yellareddy Municipality,1,541,584,0,1125,Zaheerabad,,
550,Kamareddy,Yellareddy,Yellareddy Municipality,2,534,628,0,1162,Zaheerabad,,
551,Kamareddy,Yellareddy,Yellareddy Municipality,3,587,578,0,1165,Zaheerabad,,
552,Kamareddy,Yellareddy,Yellareddy Municipality,4,550,606,0,1156,Zaheerabad,,
553,Kamareddy,Yellareddy,Yellareddy Municipality,5,505,587,1,1093,Zaheerabad,,
554,Kamareddy,Yellareddy,Yellareddy Municipality,6,503,596,0,1099,Zaheerabad,,
555,Kamareddy,Yellareddy,Yellareddy Municipality,7,540,586,0,1126,Zaheerabad,,
556,Kamareddy,Yellareddy,Yellareddy Municipality,8,470,533,0,1003,Zaheerabad,,
557,Kamareddy,Yellareddy,Yellareddy Municipality,9,537,537,0,1074,Zaheerabad,,
558,Kamareddy,Yellareddy,Yellareddy Municipality,10,509,553,0,1062,Zaheerabad,,
559,Kamareddy,Yellareddy,Yellareddy Municipality,11,502,566,0,1068,Zaheerabad,,
560,Kamareddy,Yellareddy,Yellareddy Municipality,12,543,589,0,1132,Zaheerabad,,
561,Karimnagar,Karimnagar,Karimnagar Corp.,1,2669,2565,0,5234,Karimnagar,,
562,Karimnagar,Karimnagar,Karimnagar Corp.,2,2856,2867,1,5724,Karimnagar,,
563,Karimnagar,Karimnagar,Karimnagar Corp.,3,2890,2889,0,5779,Karimnagar,,
564,Karimnagar,Karimnagar,Karimnagar Corp.,4,2571,2804,1,5376,Karimnagar,,
565,Karimnagar,Karimnagar,Karimnagar Corp.,5,2254,2608,0,4862,Karimnagar,,
566,Karimnagar,Karimnagar,Karimnagar Corp.,6,2298,2420,0,4718,Karimnagar,,
567,Karimnagar,Karimnagar,Karimnagar Corp.,7,3273,3204,0,6477,Karimnagar,,
568,Karimnagar,Karimnagar,Karimnagar Corp.,8,2779,3009,0,5788,Karimnagar,,
569,Karimnagar,Karimnagar,Karimnagar Corp.,9,2511,2485,0,4996,Karimnagar,,
570,Karimnagar,Karimnagar,Karimnagar Corp.,10,2698,2598,1,5297,Karimnagar,,
