S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
162	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Dhaba K
163	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Dongargoan
164	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Gadiguda
165	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Khadki
166	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Khadodi
167	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Khandow
168	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Kolama
169	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Kothapally G
170	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Kundi Shekuguda
171	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Kunikasa G
172	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Lokari B
173	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Lokari K
174	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Mediguda
175	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Paraswada B
176	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Paraswada K
177	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Pipri
178	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Rampur
179	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Romankasa
180	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Rupapur
181	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Sangvi
182	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Savri
183	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Belluri
184	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Damanguda
185	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Dongargaon
186	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Garkampet -I
187	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Gond Harkapur
188	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Gudihathnur
189	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Guruj
190	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Kamalapur
191	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Kolhari
192	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Lingapur
193	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Machapur
194	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Malkapoor
195	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Mankapoor
196	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Mannur
197	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Muthnur
198	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Muthnur Tanda
199	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Ragapoor
200	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Seethagondi
201	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Shambuguda
202	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Shanthapur
203	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Soyamguda
204	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Suryaguda
205	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Thosham
206	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Tosham Tanda
207	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Umri-B
208	Adilabad	Telangana	Adilabad	Boath (ST)	Gudihathnur	Vaizapoor
209	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Adegaon (K)
210	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Adegaon-B
